nodeID,nodeType,parentID,option,nodeText,ScenarioCategory,H_p,H_a,TypeOfCase
46,textarea,9,More than tertiary transfer scenario,What is the alternative proposition?,2,null,,null
47,leaf,9,"None of the above (i.e., alternative does not contain an activity)",null,1,null,Suspect did not lick/suck breast(s) of Complainant (no alternative activity),null
48,leaf,11,Someone else performed this activity,null,3,null,Someone else drove the car between ________ and ___________,null
49,textarea,11,Suspect performed this activity at a different time,What is the alternative proposition?,2,null,,null
50,textarea,11,Suspect performed a different activity at same time,What is the alternative proposition?,2,null,,null
51,textarea,11,Suspect performed a different activity at a different time,What is the alternative proposition?,2,null,,null
52,textarea,11,Secondary transfer scenario,What is the alternative proposition?,2,null,,null
53,textarea,11,Tertiary transfer scenario,What is the alternative proposition?,2,null,,null
54,textarea,11,More than tertiary transfer scenario,What is the alternative proposition?,2,null,,null
55,leaf,11,"None of the above (i.e., alternative does not contain an activity)",null,1,null,Suspect did not drive the car (no alternative activity),null
56,leaf,14,,,,,,
57,leaf,15,,,,,,
58,leaf,16,,,,,,
59,leaf,17,,,,,,
60,leaf,18,,,,,,
61,leaf,19,,,,,,
62,leaf,23,,,,,,
63,leaf,24,,,,,,
64,leaf,25,,,,,,
65,leaf,26,,,,,,
66,leaf,27,,,,,,
67,leaf,28,,,,,,
68,leaf,32,,,,,,
69,leaf,33,,,,,,
70,leaf,34,,,,,,
71,leaf,35,,,,,,
72,leaf,36,,,,,,
73,leaf,37,,,,,,
74,leaf,41,,,,,,
75,leaf,42,,,,,,
76,leaf,43,,,,,,
77,leaf,44,,,,,,
78,leaf,45,,,,,,
79,leaf,46,,,,,,
80,leaf,49,,,,,,
81,leaf,50,,,,,,
82,leaf,51,,,,,,
83,leaf,52,,,,,,
84,leaf,53,,,,,,
85,leaf,54,,,,,,
